Start of month,T.Bond Rate,ERP (T12m)
2004-08-31,0.0372,0.0422
2004-09-30,0.0383,0.0451
2004-10-31,0.0395,0.059
2004-11-30,0.0292,0.066
2004-12-31,0.0221,0.0643
2005-01-31,0.0287,0.0687
2005-02-28,0.0302,0.0768
2005-03-31,0.0271,0.0701
2005-04-30,0.0316,0.0632
2005-05-31,0.0347,0.0594
2005-06-30,0.0353,0.0586
2005-07-31,0.0352,0.0546
2005-08-31,0.034,0.053
2005-09-30,0.033,0.0486
2005-10-31,0.0339,0.0497
2005-11-30,0.0324,0.0473
2005-12-31,0.0384,0.0436
2006-01-31,0.0358,0.0456
2006-02-28,0.0361,0.0444
2006-03-31,0.0383,0.0416
2006-04-30,0.0365,0.0454
2006-05-31,0.033,0.0479
2006-06-30,0.0296,0.051
2006-07-31,0.0291,0.0478
2006-08-31,0.0247,0.051
2006-09-30,0.0251,0.0531
2006-10-31,0.026,0.0511
2006-11-30,0.028,0.0508
2006-12-31,0.0329,0.052
2007-01-31,0.0338,0.0507
2007-02-28,0.0342,0.049
2007-03-31,0.0347,0.0531
2007-04-30,0.0329,0.0516
2007-05-31,0.0306,0.0527
2007-06-30,0.0317,0.0572
2007-07-31,0.028,0.0592
2007-08-31,0.0223,0.0639
2007-09-30,0.0192,0.0764
2007-10-31,0.0205,0.0649
2007-11-30,0.0207,0.0651
2007-12-31,0.0187,0.0732
2008-01-31,0.0181,0.0704
2008-02-29,0.0198,0.0673
2008-03-31,0.0221,0.0664
2008-04-30,0.0192,0.0676
2008-05-31,0.0155,0.0728
2008-06-30,0.0165,0.0659
2008-07-31,0.0147,0.0655
2008-08-31,0.0155,0.0641
2008-09-30,0.0162,0.0635
2008-10-31,0.0175,0.0644
2008-11-30,0.0162,0.0645
2008-12-31,0.0176,0.06
2009-01-31,0.02,0.0567
2009-02-28,0.0188,0.0565
2009-03-31,0.0185,0.0568
2009-04-30,0.0165,0.056
2009-05-31,0.0214,0.0545
2009-06-30,0.0249,0.0573
2009-07-31,0.0257,0.0546
2009-08-31,0.0279,0.0562
2009-09-30,0.0261,0.0559
2009-10-31,0.0255,0.0536
2009-11-30,0.0275,0.0519
2009-12-31,0.0304,0.0496
2010-01-31,0.0265,0.0517
2010-02-28,0.0266,0.0496
2010-03-31,0.0272,0.0515
2010-04-30,0.0265,0.0512
2010-05-31,0.0248,0.0503
2010-06-30,0.0252,0.0538
2010-07-31,0.0256,0.0545
2010-08-31,0.0235,0.0528
2010-09-30,0.0249,0.0543
2010-10-31,0.0234,0.0532
2010-11-30,0.0217,0.0521
2010-12-31,0.0217,0.0578
2011-01-31,0.017,0.0601
2011-02-28,0.02,0.0567
2011-03-31,0.0193,0.0586
2011-04-30,0.0205,0.058
2011-05-31,0.0213,0.0574
2011-06-30,0.0236,0.0581
2011-07-31,0.0218,0.059
2011-08-31,0.0222,0.0628
2011-09-30,0.0206,0.0663
2011-10-31,0.0215,0.0612
2011-11-30,0.0221,0.0611
2011-12-31,0.0227,0.0612
2012-01-31,0.0192,0.0647
2012-02-29,0.0174,0.0651
2012-03-31,0.0177,0.0624
2012-04-30,0.0183,0.0622
2012-05-31,0.0183,0.0612
2012-06-30,0.0147,0.0627
2012-07-31,0.0145,0.0606
2012-08-31,0.0159,0.0606
2012-09-30,0.016,0.0616
2012-10-31,0.0184,0.0626
2012-11-30,0.0239,0.0602
2012-12-31,0.0245,0.0569
2013-01-31,0.0247,0.0559
2013-02-28,0.0239,0.0539
2013-03-31,0.0239,0.0538
2013-04-30,0.023,0.0534
2013-05-31,0.0221,0.0529
2013-06-30,0.023,0.0513
2013-07-31,0.023,0.0503
2013-08-31,0.0212,0.0504
2013-09-30,0.0233,0.0492
2013-10-31,0.0237,0.0481
2013-11-30,0.0242,0.0468
2013-12-31,0.0241,0.0508
2014-01-31,0.0274,0.0478
2014-02-28,0.0287,0.0496
2014-03-31,0.0274,0.0519
2014-04-30,0.0295,0.0516
2014-05-31,0.0287,0.0506
2014-06-30,0.0285,0.0537
2014-07-31,0.0296,0.0518
2014-08-31,0.0286,0.0504
2014-09-30,0.0307,0.0538
2014-10-31,0.0316,0.0576
2014-11-30,0.0299,0.0568
2014-12-31,0.0268,0.0596
2015-01-31,0.0263,0.0553
2015-02-28,0.0272,0.0536
2015-03-31,0.024,0.0575
2015-04-30,0.0251,0.0562
2015-05-31,0.0214,0.0593
2015-06-30,0.02,0.0567
2015-07-31,0.0202,0.0559
2015-08-31,0.015,0.0575
2015-09-30,0.0167,0.0555
2015-10-31,0.0168,0.0544
2015-11-30,0.0178,0.0525
2015-12-31,0.0192,0.052
2016-01-31,0.0151,0.0524
2016-02-29,0.0113,0.0569
2016-03-31,0.0068,0.0616
2016-04-30,0.0064,0.0565
2016-05-31,0.0066,0.0545
2016-06-30,0.0066,0.0537
2016-07-31,0.0055,0.051
2016-08-31,0.0072,0.0474
2016-09-30,0.0069,0.0474
2016-10-31,0.0088,0.0485
2016-11-30,0.0084,0.0449
2016-12-31,0.0093,0.042
2017-01-31,0.0111,0.0476
2017-02-28,0.0143,0.0463
2017-03-31,0.0175,0.0414
2017-04-30,0.0163,0.0399
2017-05-31,0.0158,0.041
2017-06-30,0.0147,0.0396
2017-07-31,0.0123,0.0391
2017-08-31,0.0131,0.0421
2017-09-30,0.0152,0.0487
2017-10-31,0.0156,0.0458
2017-11-30,0.0145,0.0479
2017-12-31,0.0151,0.0424
2018-01-31,0.0179,0.0456
2018-02-28,0.0183,0.0475
2018-03-31,0.0233,0.0473
2018-04-30,0.0289,0.0514
2018-05-31,0.0286,0.0507
2018-06-30,0.0302,0.0601
